metric_id,resource_id,timestamp,cpu_utilization_pct,memory_utilization_pct,network_in_mbps,network_out_mbps,disk_utilization_pct,is_idle_flag
met-da056e6d,res-af3191324d,2026-03-21T00:00:00Z,47.81,62.04,380.4,89.74,41.41,False
met-fb91e6d1,res-af3191324d,2026-03-18T00:00:00Z,10.32,71.5,329.63,73.5,75.4,False
met-b161a31b,res-af3191324d,2026-03-15T00:00:00Z,81.53,12.98,461.52,128.28,82.82,False
met-b93009ea,res-af3191324d,2026-03-12T00:00:00Z,89.05,12.91,419.74,237.45,33.97,False
met-485ac60b,res-af3191324d,2026-03-09T00:00:00Z,72.41,79.78,151.84,16.05,42.38,False
met-72c11ce1,res-af3191324d,2026-03-06T00:00:00Z,59.25,84.28,174.17,139.03,68.1,False
met-134782ad,res-af3191324d,2026-03-03T00:00:00Z,52.19,81.14,75.76,153.74,40.46,False
met-035720ea,res-af3191324d,2026-02-28T00:00:00Z,77.79,36.45,368.25,196.24,73.89,False
met-e88e0eb8,res-af3191324d,2026-02-25T00:00:00Z,6.27,36.97,154.56,203.95,34.49,False
met-567862f8,res-af3191324d,2026-02-22T00:00:00Z,59.99,61.1,208.69,131.17,44.59,False
met-cd61ec71,res-60f0ed8701,2026-03-21T00:00:00Z,3.51,1.86,4.91,0.95,14.1,True
met-eeb34307,res-60f0ed8701,2026-03-18T00:00:00Z,0.55,4.45,2.23,0.53,5.61,True
met-7e3a60a4,res-60f0ed8701,2026-03-15T00:00:00Z,4.87,6.16,1.31,0.72,4.31,True
met-aaa73e92,res-60f0ed8701,2026-03-12T00:00:00Z,5.51,5.19,0.8,1.37,13.92,True
met-af85ef50,res-60f0ed8701,2026-03-09T00:00:00Z,7.16,7.93,3.45,1.28,14.17,True
met-7837b819,res-60f0ed8701,2026-03-06T00:00:00Z,3.26,2.99,4.79,0.96,7.37,True
met-a4201f41,res-60f0ed8701,2026-03-03T00:00:00Z,7.92,4.36,3.51,1.83,11.6,True
met-3f0bd77e,res-60f0ed8701,2026-02-28T00:00:00Z,6.51,8.43,3.81,1.36,9.34,True
met-890cad57,res-60f0ed8701,2026-02-25T00:00:00Z,6.41,5.73,2.64,0.72,13.84,True
met-9a0c282c,res-60f0ed8701,2026-02-22T00:00:00Z,1.34,8.46,4.51,0.4,8.51,True
met-810428a6,res-8981e482f7,2026-03-21T00:00:00Z,6.91,4.98,3.4,1.43,7.84,True
met-88baadef,res-8981e482f7,2026-03-18T00:00:00Z,7.24,5.01,0.28,0.26,6.82,True
met-0553fbf8,res-8981e482f7,2026-03-15T00:00:00Z,4.73,6.03,3.36,0.62,1.3,True
met-c7505127,res-8981e482f7,2026-03-12T00:00:00Z,2.41,1.03,1.09,0.15,6.93,True
met-6f904812,res-8981e482f7,2026-03-09T00:00:00Z,5.75,5.87,0.3,1.79,14.81,True
met-38934354,res-8981e482f7,2026-03-06T00:00:00Z,4.04,3.58,0.9,0.27,9.98,True
met-0eb9a0b6,res-8981e482f7,2026-03-03T00:00:00Z,5.97,9.67,1.87,1.78,7.28,True
met-b790b5cb,res-8981e482f7,2026-02-28T00:00:00Z,7.38,4.4,0.4,1.93,13.24,True
met-97dd819e,res-8981e482f7,2026-02-25T00:00:00Z,1.5,8.74,0.59,1.99,6.5,True
met-7cd63a37,res-8981e482f7,2026-02-22T00:00:00Z,1.46,9.81,4.17,1.51,14.7,True
met-ef73d762,res-0d6a0ef68f,2026-03-21T00:00:00Z,69.72,43.93,195.85,72.75,54.55,False
met-9bd0f104,res-0d6a0ef68f,2026-03-18T00:00:00Z,18.96,25.08,438.85,230.82,22.42,False
met-3cd47b94,res-0d6a0ef68f,2026-03-15T00:00:00Z,64.42,59.19,468.76,267.27,38.05,False
met-82ea5ef0,res-0d6a0ef68f,2026-03-12T00:00:00Z,11.06,57.52,228.76,203.25,85.42,False
met-85d47cb7,res-0d6a0ef68f,2026-03-09T00:00:00Z,27.03,13.54,225.09,164.23,76.58,False
met-7030ce2d,res-0d6a0ef68f,2026-03-06T00:00:00Z,74.85,21.21,496.81,74.08,88.73,False
met-c358dbe9,res-0d6a0ef68f,2026-03-03T00:00:00Z,56.85,56.2,388.54,246.42,37.77,False
met-756e03ed,res-0d6a0ef68f,2026-02-28T00:00:00Z,83.86,88.86,265.41,127.0,40.64,False
met-fbdcf7e5,res-0d6a0ef68f,2026-02-25T00:00:00Z,55.1,57.33,370.25,56.66,70.91,False
met-57e61f2a,res-0d6a0ef68f,2026-02-22T00:00:00Z,55.03,13.75,178.76,194.78,48.59,False
met-734b1403,res-7c8e5757c5,2026-03-21T00:00:00Z,67.67,42.66,156.95,59.24,60.34,False
met-cf2f2816,res-7c8e5757c5,2026-03-18T00:00:00Z,26.69,28.03,430.2,47.58,54.73,False
met-a86edbbd,res-7c8e5757c5,2026-03-15T00:00:00Z,10.19,43.01,214.09,161.35,49.13,False
met-5961f9a5,res-7c8e5757c5,2026-03-12T00:00:00Z,27.95,36.42,48.74,137.69,47.83,False
met-a6e89a75,res-7c8e5757c5,2026-03-09T00:00:00Z,53.21,76.35,35.25,116.26,65.37,False
met-448c6dfd,res-7c8e5757c5,2026-03-06T00:00:00Z,8.56,15.82,404.28,178.34,70.36,False
met-d84303c5,res-7c8e5757c5,2026-03-03T00:00:00Z,24.53,26.71,454.45,94.44,88.17,False
met-fe46ab0c,res-7c8e5757c5,2026-02-28T00:00:00Z,24.06,25.2,373.32,225.33,76.57,False
met-63f0b4fb,res-7c8e5757c5,2026-02-25T00:00:00Z,87.3,65.65,354.85,122.01,37.95,False
met-1298962b,res-7c8e5757c5,2026-02-22T00:00:00Z,33.95,32.64,238.46,196.37,43.13,False
met-8e7fef88,res-7bf8be84c6,2026-03-21T00:00:00Z,84.45,47.28,403.38,218.11,77.12,False
met-83f34bfc,res-7bf8be84c6,2026-03-18T00:00:00Z,33.82,26.25,163.33,18.49,84.81,False
met-045306b6,res-7bf8be84c6,2026-03-15T00:00:00Z,71.71,11.3,281.12,177.29,74.0,False
met-3f420de8,res-7bf8be84c6,2026-03-12T00:00:00Z,31.57,25.7,122.71,173.09,38.43,False
met-f210b0dd,res-7bf8be84c6,2026-03-09T00:00:00Z,54.56,85.48,175.41,230.19,56.65,False
met-7347cd51,res-7bf8be84c6,2026-03-06T00:00:00Z,70.12,69.17,235.81,221.17,46.41,False
met-08f2bd8c,res-7bf8be84c6,2026-03-03T00:00:00Z,17.6,53.72,100.18,267.36,94.27,False
met-144e6a9f,res-7bf8be84c6,2026-02-28T00:00:00Z,91.15,51.92,421.14,26.93,81.35,False
met-a17151ae,res-7bf8be84c6,2026-02-25T00:00:00Z,9.37,10.51,77.37,191.06,25.1,True
met-127a1753,res-7bf8be84c6,2026-02-22T00:00:00Z,18.59,27.5,233.44,22.83,67.83,False
met-cf8f8c02,res-e6c78dd1d4,2026-03-21T00:00:00Z,87.15,62.74,17.71,162.0,50.85,False
met-cbd95291,res-e6c78dd1d4,2026-03-18T00:00:00Z,6.51,67.78,272.51,89.57,57.67,False
met-2fce3b28,res-e6c78dd1d4,2026-03-15T00:00:00Z,67.81,44.45,470.46,57.88,88.85,False
met-6384791d,res-e6c78dd1d4,2026-03-12T00:00:00Z,52.19,29.28,313.69,79.46,46.58,False
met-0798f38b,res-e6c78dd1d4,2026-03-09T00:00:00Z,76.54,16.32,480.06,140.4,38.24,False
met-c4707ea6,res-e6c78dd1d4,2026-03-06T00:00:00Z,67.75,34.0,415.75,28.78,94.38,False
met-ed9aacbf,res-e6c78dd1d4,2026-03-03T00:00:00Z,63.49,12.53,208.59,116.27,55.7,False
met-5f252989,res-e6c78dd1d4,2026-02-28T00:00:00Z,62.31,66.23,50.52,254.37,68.37,False
met-ae3578dc,res-e6c78dd1d4,2026-02-25T00:00:00Z,34.81,88.19,487.18,268.96,88.94,False
met-a0c0bbaf,res-e6c78dd1d4,2026-02-22T00:00:00Z,25.68,82.1,349.22,172.2,40.33,False
met-50c61976,res-27b61e76ab,2026-03-21T00:00:00Z,7.43,7.16,1.4,1.09,10.21,True
met-f2b5342e,res-27b61e76ab,2026-03-18T00:00:00Z,1.85,8.65,0.08,0.41,3.02,True
met-0fb11f16,res-27b61e76ab,2026-03-15T00:00:00Z,6.66,8.39,4.64,0.6,8.9,True
met-1e1a36f1,res-27b61e76ab,2026-03-12T00:00:00Z,4.75,8.64,3.39,1.08,6.37,True
met-b17aa52a,res-27b61e76ab,2026-03-09T00:00:00Z,6.05,8.11,3.45,0.16,11.44,True
met-7dcec302,res-27b61e76ab,2026-03-06T00:00:00Z,3.09,1.88,1.16,0.15,9.47,True
met-b3d51f81,res-27b61e76ab,2026-03-03T00:00:00Z,5.1,6.36,4.84,0.65,9.88,True
met-17d0ffa5,res-27b61e76ab,2026-02-28T00:00:00Z,6.38,5.05,1.14,1.11,6.26,True
met-e954bbab,res-27b61e76ab,2026-02-25T00:00:00Z,1.89,6.27,1.9,1.54,5.14,True
met-5dcae424,res-27b61e76ab,2026-02-22T00:00:00Z,2.35,1.66,1.34,0.76,11.97,True
met-ff3434b9,res-e8e6f9948e,2026-03-21T00:00:00Z,3.42,4.25,0.46,1.89,7.23,True
met-b6228eb8,res-e8e6f9948e,2026-03-18T00:00:00Z,6.21,1.92,0.44,0.86,8.8,True
met-edd62379,res-e8e6f9948e,2026-03-15T00:00:00Z,4.34,1.93,0.45,1.11,9.36,True
met-751b096c,res-e8e6f9948e,2026-03-12T00:00:00Z,6.38,8.77,0.06,0.83,11.91,True
met-c127ab54,res-e8e6f9948e,2026-03-09T00:00:00Z,5.94,6.04,4.96,0.49,8.3,True
met-a680bdbf,res-e8e6f9948e,2026-03-06T00:00:00Z,5.64,2.53,1.34,0.54,3.04,True
met-443276f7,res-e8e6f9948e,2026-03-03T00:00:00Z,1.75,3.48,1.5,1.57,6.06,True
met-0c8788cf,res-e8e6f9948e,2026-02-28T00:00:00Z,7.58,7.49,2.48,1.23,7.41,True
met-1c642989,res-e8e6f9948e,2026-02-25T00:00:00Z,1.52,1.06,1.98,1.68,6.32,True
met-54909089,res-e8e6f9948e,2026-02-22T00:00:00Z,6.97,4.96,2.15,1.65,10.11,True
met-8f6bfba4,res-2944eb9249,2026-03-21T00:00:00Z,32.04,58.26,350.69,146.31,33.32,False
met-729170a4,res-2944eb9249,2026-03-18T00:00:00Z,40.84,35.53,370.09,191.71,92.58,False
met-2e62926c,res-2944eb9249,2026-03-15T00:00:00Z,75.38,36.07,147.35,236.83,47.38,False
met-95397f87,res-2944eb9249,2026-03-12T00:00:00Z,88.89,25.98,498.66,58.08,77.57,False
met-bee65726,res-2944eb9249,2026-03-09T00:00:00Z,7.42,68.18,472.06,66.85,79.83,False
met-0ccf21bf,res-2944eb9249,2026-03-06T00:00:00Z,79.82,15.53,425.42,239.54,70.47,False
met-e9907a08,res-2944eb9249,2026-03-03T00:00:00Z,17.53,34.23,133.81,50.47,51.73,False
met-8f1456f4,res-2944eb9249,2026-02-28T00:00:00Z,38.93,45.93,302.99,176.76,60.08,False
met-575bc523,res-2944eb9249,2026-02-25T00:00:00Z,88.11,79.57,214.97,15.85,92.63,False
met-f5e52bc0,res-2944eb9249,2026-02-22T00:00:00Z,68.15,74.98,300.97,274.75,28.2,False
met-71421084,res-ffe7d0aee3,2026-03-21T00:00:00Z,64.82,23.31,310.21,171.15,68.38,False
met-23a525cb,res-ffe7d0aee3,2026-03-18T00:00:00Z,63.21,87.34,172.48,239.89,27.95,False
met-9a44a0fe,res-ffe7d0aee3,2026-03-15T00:00:00Z,13.87,27.76,375.96,169.61,71.57,False
met-2a3fc1c5,res-ffe7d0aee3,2026-03-12T00:00:00Z,24.89,39.93,236.9,205.47,71.78,False
met-14facad0,res-ffe7d0aee3,2026-03-09T00:00:00Z,18.57,89.82,246.56,92.15,89.04,False
met-637cf9d9,res-ffe7d0aee3,2026-03-06T00:00:00Z,12.73,76.51,367.77,107.76,45.73,False
met-b6765afc,res-ffe7d0aee3,2026-03-03T00:00:00Z,75.58,51.69,180.67,33.8,74.15,False
met-74f89b34,res-ffe7d0aee3,2026-02-28T00:00:00Z,45.72,15.37,31.89,214.68,21.69,False
met-41e4f396,res-ffe7d0aee3,2026-02-25T00:00:00Z,35.88,18.75,402.02,279.33,75.54,False
met-e6565eb1,res-ffe7d0aee3,2026-02-22T00:00:00Z,51.44,54.15,172.18,130.78,54.65,False
met-d58ed26e,res-eb7b954b40,2026-03-21T00:00:00Z,61.68,24.91,332.08,121.7,75.3,False
met-94e1a156,res-eb7b954b40,2026-03-18T00:00:00Z,84.48,45.97,220.48,6.31,36.11,False
met-33d748a6,res-eb7b954b40,2026-03-15T00:00:00Z,30.05,66.3,400.04,175.32,79.96,False
met-283a2f86,res-eb7b954b40,2026-03-12T00:00:00Z,53.32,39.26,106.57,38.62,70.3,False
met-1d333ab4,res-eb7b954b40,2026-03-09T00:00:00Z,49.05,87.27,163.57,119.65,49.44,False
met-309335c7,res-eb7b954b40,2026-03-06T00:00:00Z,15.28,38.16,234.35,55.9,70.52,False
met-5c1ed954,res-eb7b954b40,2026-03-03T00:00:00Z,77.06,83.49,299.18,203.27,43.49,False
met-4c097092,res-eb7b954b40,2026-02-28T00:00:00Z,26.47,19.36,192.92,46.7,49.13,False
met-4d1e7b49,res-eb7b954b40,2026-02-25T00:00:00Z,58.68,55.98,217.29,148.57,60.3,False
met-e74dc715,res-eb7b954b40,2026-02-22T00:00:00Z,87.72,84.46,94.89,54.23,41.66,False
met-ada27f55,res-245355a4b4,2026-03-21T00:00:00Z,1.9,8.58,3.1,1.73,14.33,True
met-622bb8f1,res-245355a4b4,2026-03-18T00:00:00Z,4.13,2.76,1.92,1.12,10.14,True
met-f4c07c5c,res-245355a4b4,2026-03-15T00:00:00Z,3.57,5.43,3.55,0.89,3.34,True
met-9090665b,res-245355a4b4,2026-03-12T00:00:00Z,4.74,8.16,1.1,0.07,4.15,True
met-d22c63e8,res-245355a4b4,2026-03-09T00:00:00Z,2.67,8.03,2.83,1.55,7.93,True
met-5ec87910,res-245355a4b4,2026-03-06T00:00:00Z,4.33,6.15,1.34,1.09,14.87,True
met-14acae19,res-245355a4b4,2026-03-03T00:00:00Z,4.57,7.81,3.8,0.88,4.06,True
met-05f46f40,res-245355a4b4,2026-02-28T00:00:00Z,3.69,7.62,3.27,0.5,13.25,True
met-62a87edd,res-245355a4b4,2026-02-25T00:00:00Z,0.74,3.37,4.31,0.17,13.11,True
met-67769cb4,res-245355a4b4,2026-02-22T00:00:00Z,1.38,8.31,1.05,1.48,10.65,True
met-1d65bec1,res-b418bdd23c,2026-03-21T00:00:00Z,6.96,6.49,2.14,1.23,11.99,True
met-c1726a35,res-b418bdd23c,2026-03-18T00:00:00Z,6.6,8.25,2.85,1.06,9.36,True
met-e6359d6e,res-b418bdd23c,2026-03-15T00:00:00Z,1.76,9.81,1.46,1.15,14.33,True
met-885e0654,res-b418bdd23c,2026-03-12T00:00:00Z,4.36,9.1,4.08,0.27,11.5,True
met-69295175,res-b418bdd23c,2026-03-09T00:00:00Z,3.59,1.53,1.39,1.31,10.82,True
met-39313eca,res-b418bdd23c,2026-03-06T00:00:00Z,1.5,2.32,1.61,0.5,12.81,True
met-30b27ccf,res-b418bdd23c,2026-03-03T00:00:00Z,3.45,2.28,3.16,1.26,6.25,True
met-e29ccc1b,res-b418bdd23c,2026-02-28T00:00:00Z,1.07,8.15,3.84,0.81,11.5,True
met-ccc5183f,res-b418bdd23c,2026-02-25T00:00:00Z,5.71,8.9,2.27,0.98,9.15,True
met-3dcc12a2,res-b418bdd23c,2026-02-22T00:00:00Z,7.02,8.62,0.47,1.94,9.89,True
met-f143389a,res-9bf6ab9fd1,2026-03-21T00:00:00Z,5.73,8.65,3.98,0.8,14.55,True
met-66e3b516,res-9bf6ab9fd1,2026-03-18T00:00:00Z,6.69,5.45,1.61,0.57,8.66,True
met-e6ed3c2e,res-9bf6ab9fd1,2026-03-15T00:00:00Z,1.48,8.67,3.94,1.79,11.67,True
met-c2e7461a,res-9bf6ab9fd1,2026-03-12T00:00:00Z,0.84,6.64,4.18,0.03,14.01,True
met-607138f2,res-9bf6ab9fd1,2026-03-09T00:00:00Z,1.68,5.11,4.96,0.86,14.94,True
met-1b203255,res-9bf6ab9fd1,2026-03-06T00:00:00Z,7.32,8.94,1.51,1.75,13.27,True
met-c51c9c37,res-9bf6ab9fd1,2026-03-03T00:00:00Z,1.2,4.24,0.41,1.33,10.08,True
met-4b8e447f,res-9bf6ab9fd1,2026-02-28T00:00:00Z,0.89,6.63,3.63,1.51,7.01,True
met-0051c36f,res-9bf6ab9fd1,2026-02-25T00:00:00Z,1.18,1.86,1.07,0.16,9.31,True
met-425e3f43,res-9bf6ab9fd1,2026-02-22T00:00:00Z,4.4,5.01,0.04,0.69,2.69,True
met-7ebc5caf,res-8e6abe0bff,2026-03-21T00:00:00Z,67.46,48.22,122.18,31.35,80.45,False
met-a2d94db7,res-8e6abe0bff,2026-03-18T00:00:00Z,14.29,39.4,156.64,117.9,81.0,False
met-bd45ba7a,res-8e6abe0bff,2026-03-15T00:00:00Z,83.7,61.33,341.8,25.18,62.25,False
met-a1a3b09c,res-8e6abe0bff,2026-03-12T00:00:00Z,59.93,23.13,182.08,67.85,76.12,False
met-b42b27ed,res-8e6abe0bff,2026-03-09T00:00:00Z,87.79,59.29,226.77,69.09,87.24,False
met-d5012962,res-8e6abe0bff,2026-03-06T00:00:00Z,17.6,19.85,367.7,108.7,52.2,False
met-7e8b3345,res-8e6abe0bff,2026-03-03T00:00:00Z,76.2,29.82,325.86,78.21,65.07,False
met-ffbd30fe,res-8e6abe0bff,2026-02-28T00:00:00Z,69.91,32.79,471.23,12.91,83.53,False
met-130253bd,res-8e6abe0bff,2026-02-25T00:00:00Z,83.82,26.44,307.39,60.65,49.38,False
met-640961a2,res-8e6abe0bff,2026-02-22T00:00:00Z,63.16,72.7,398.95,75.61,48.94,False
met-6ce95580,res-731183adf0,2026-03-21T00:00:00Z,62.43,15.68,445.48,8.56,47.08,False
met-268a89f1,res-731183adf0,2026-03-18T00:00:00Z,33.48,40.95,421.1,129.15,60.98,False
met-92f5afc4,res-731183adf0,2026-03-15T00:00:00Z,20.55,47.68,493.81,26.53,64.05,False
met-be0d80b2,res-731183adf0,2026-03-12T00:00:00Z,6.24,27.26,462.06,284.86,49.85,False
met-b3f791e2,res-731183adf0,2026-03-09T00:00:00Z,30.78,67.01,385.88,129.95,50.17,False
met-31757275,res-731183adf0,2026-03-06T00:00:00Z,62.65,53.01,84.81,29.66,25.93,False
met-32b65e84,res-731183adf0,2026-03-03T00:00:00Z,87.88,87.95,86.13,101.39,63.98,False
met-3bd64474,res-731183adf0,2026-02-28T00:00:00Z,73.69,61.99,325.15,96.5,52.81,False
met-dffebcd0,res-731183adf0,2026-02-25T00:00:00Z,90.81,29.09,129.8,277.77,28.7,False
met-3d8cffb1,res-731183adf0,2026-02-22T00:00:00Z,60.11,14.4,336.38,199.13,33.17,False
met-a60de71c,res-ce612a7fad,2026-03-21T00:00:00Z,1.53,1.1,2.48,0.69,8.24,True
met-d4843896,res-ce612a7fad,2026-03-18T00:00:00Z,6.67,3.33,1.86,1.5,13.23,True
met-be5b68a9,res-ce612a7fad,2026-03-15T00:00:00Z,6.0,2.06,4.5,0.67,7.01,True
met-3e994739,res-ce612a7fad,2026-03-12T00:00:00Z,4.43,3.37,4.88,1.26,7.95,True
met-cd6089c5,res-ce612a7fad,2026-03-09T00:00:00Z,4.33,1.5,4.3,0.33,3.2,True
met-ca3c2a23,res-ce612a7fad,2026-03-06T00:00:00Z,6.3,9.05,3.37,0.23,11.37,True
met-c0780834,res-ce612a7fad,2026-03-03T00:00:00Z,0.52,8.73,0.06,0.09,6.1,True
met-e0729d60,res-ce612a7fad,2026-02-28T00:00:00Z,7.4,2.61,4.8,0.07,12.24,True
met-54e22e79,res-ce612a7fad,2026-02-25T00:00:00Z,5.86,6.9,1.12,0.5,13.82,True
met-2ddd8daa,res-ce612a7fad,2026-02-22T00:00:00Z,2.9,8.43,2.86,0.24,10.43,True
met-e32bc72e,res-9339bd1b32,2026-03-21T00:00:00Z,2.17,5.64,0.23,0.8,13.28,True
met-8db15612,res-9339bd1b32,2026-03-18T00:00:00Z,7.0,7.96,1.55,0.17,7.39,True
met-07b9c21a,res-9339bd1b32,2026-03-15T00:00:00Z,3.27,3.62,3.92,1.48,4.4,True
met-2c6ede0c,res-9339bd1b32,2026-03-12T00:00:00Z,3.26,9.75,4.99,1.55,11.25,True
met-0cb363c3,res-9339bd1b32,2026-03-09T00:00:00Z,4.6,8.16,0.75,1.86,1.33,True
met-d0f6df0e,res-9339bd1b32,2026-03-06T00:00:00Z,4.56,6.72,3.47,0.02,5.69,True
met-7f92f903,res-9339bd1b32,2026-03-03T00:00:00Z,6.19,4.39,3.69,0.62,3.87,True
met-294f9641,res-9339bd1b32,2026-02-28T00:00:00Z,7.87,4.78,4.81,1.95,2.99,True
met-de4f4ce5,res-9339bd1b32,2026-02-25T00:00:00Z,2.6,1.4,1.16,1.69,6.78,True
met-fef9bcc8,res-9339bd1b32,2026-02-22T00:00:00Z,7.22,5.13,3.74,1.16,8.08,True
met-dfa5217a,res-957f15962b,2026-03-21T00:00:00Z,40.49,57.35,40.52,200.42,29.8,False
met-baa66dca,res-957f15962b,2026-03-18T00:00:00Z,31.25,78.07,463.76,120.92,82.39,False
met-be1b60d2,res-957f15962b,2026-03-15T00:00:00Z,34.36,46.22,124.47,283.35,30.21,False
met-72db9d14,res-957f15962b,2026-03-12T00:00:00Z,74.31,18.72,61.77,137.62,43.55,False
met-626744dd,res-957f15962b,2026-03-09T00:00:00Z,15.87,38.66,387.47,138.32,54.75,False
met-497b75f6,res-957f15962b,2026-03-06T00:00:00Z,81.72,17.23,405.72,94.74,72.85,False
met-b293ca9d,res-957f15962b,2026-03-03T00:00:00Z,59.3,27.2,429.72,48.76,73.34,False
met-3b589aed,res-957f15962b,2026-02-28T00:00:00Z,92.16,41.7,33.99,93.16,81.51,False
met-7dafc50b,res-957f15962b,2026-02-25T00:00:00Z,20.65,86.17,428.75,169.01,61.26,False
met-f9a1a30f,res-957f15962b,2026-02-22T00:00:00Z,13.53,18.15,398.97,40.83,24.63,False
met-22622761,res-e7f1cf49e9,2026-03-21T00:00:00Z,25.01,25.85,206.29,207.45,90.32,False
met-0c3444ec,res-e7f1cf49e9,2026-03-18T00:00:00Z,12.56,56.89,459.54,27.12,94.79,False
met-3edad434,res-e7f1cf49e9,2026-03-15T00:00:00Z,22.8,61.68,406.56,32.13,83.55,False
met-39f87907,res-e7f1cf49e9,2026-03-12T00:00:00Z,77.8,19.8,471.72,19.94,89.31,False
met-e64f32e6,res-e7f1cf49e9,2026-03-09T00:00:00Z,43.98,67.95,253.1,117.91,52.0,False
met-9cda966b,res-e7f1cf49e9,2026-03-06T00:00:00Z,36.85,82.66,144.74,136.57,31.15,False
met-dcfa779f,res-e7f1cf49e9,2026-03-03T00:00:00Z,60.27,59.36,327.17,152.17,86.21,False
met-a7697182,res-e7f1cf49e9,2026-02-28T00:00:00Z,48.11,17.02,197.68,128.67,68.2,False
met-faf51711,res-e7f1cf49e9,2026-02-25T00:00:00Z,76.75,29.93,497.1,165.38,21.46,False
met-9ba25f47,res-e7f1cf49e9,2026-02-22T00:00:00Z,39.42,67.07,245.05,235.52,45.8,False
met-18954797,res-355c3d5096,2026-03-21T00:00:00Z,4.74,3.89,1.35,0.05,9.36,True
met-e6155797,res-355c3d5096,2026-03-18T00:00:00Z,0.72,8.3,1.4,1.62,7.6,True
met-8091babe,res-355c3d5096,2026-03-15T00:00:00Z,3.18,6.26,1.16,0.32,4.47,True
met-e40f9c93,res-355c3d5096,2026-03-12T00:00:00Z,2.31,5.8,3.96,1.47,11.7,True
met-a83fc60e,res-355c3d5096,2026-03-09T00:00:00Z,7.61,6.18,4.91,0.78,14.09,True
met-7e4c6db9,res-355c3d5096,2026-03-06T00:00:00Z,7.94,2.56,1.18,0.64,11.33,True
met-065b92c1,res-355c3d5096,2026-03-03T00:00:00Z,3.19,6.32,3.52,0.7,8.95,True
met-f29e9dea,res-355c3d5096,2026-02-28T00:00:00Z,1.57,9.54,4.18,1.62,14.59,True
met-1599bf7a,res-355c3d5096,2026-02-25T00:00:00Z,4.57,2.58,0.19,0.11,9.42,True
met-62e310c8,res-355c3d5096,2026-02-22T00:00:00Z,0.65,5.3,1.66,1.23,12.29,True
met-e94731a9,res-938e55f151,2026-03-21T00:00:00Z,20.97,74.19,435.43,22.57,31.08,False
met-9580fad3,res-938e55f151,2026-03-18T00:00:00Z,68.42,21.33,64.35,160.26,47.37,False
met-0aaaf959,res-938e55f151,2026-03-15T00:00:00Z,11.53,66.36,334.45,177.87,45.24,False
met-7c5d885a,res-938e55f151,2026-03-12T00:00:00Z,34.03,88.07,368.85,133.88,67.94,False
met-57710b0f,res-938e55f151,2026-03-09T00:00:00Z,48.85,35.38,356.52,170.78,86.72,False
met-0e3ef796,res-938e55f151,2026-03-06T00:00:00Z,60.23,38.55,336.11,245.26,48.38,False
met-7b2b58f8,res-938e55f151,2026-03-03T00:00:00Z,71.06,33.56,97.08,5.53,72.65,False
met-dfef5abf,res-938e55f151,2026-02-28T00:00:00Z,56.56,78.06,387.71,172.41,33.66,False
met-2bc82d54,res-938e55f151,2026-02-25T00:00:00Z,33.64,74.7,309.58,193.7,27.81,False
